country,migrants_per_thous_pop,net_migr_rate_categ
Aruba,8,More Moving In
Afghanistan,-0.1,More Moving Out
Angola,-0.2,More Moving Out
Anguilla,10.3,More Moving In
Albania,-3.2,More Moving Out
Aland,NA,NA
Andorra,0,No Net Change
United Arab Emirates,-3.1,More Moving Out
Argentina,-0.1,More Moving Out
Armenia,-5.2,More Moving Out
American Samoa,-24.8,More Moving Out
Antarctica,NA,NA
Ashmore and Cartier Islands,NA,NA
French Southern and Antarctic Lands,NA,NA
Antigua and Barbuda,2,More Moving In
Australia,5.9,More Moving In
Austria,3.5,More Moving In
Azerbaijan,-0.6,More Moving Out
Burundi,-0.7,More Moving Out
Belgium,4,More Moving In
Benin,0.2,More Moving In
Burkina Faso,-0.6,More Moving Out
Bangladesh,-2.9,More Moving Out
Bulgaria,-0.3,More Moving Out
Bahrain,-1.2,More Moving Out
The Bahamas,3.2,More Moving In
Bosnia and Herzegovina,-0.4,More Moving Out
Saint Barthelemy,-1,More Moving Out
Belarus,0.8,More Moving In
Belize,2,More Moving In
Bermuda,1.4,More Moving In
Bolivia,-1,More Moving Out
Brazil,-0.2,More Moving Out
Barbados,-0.3,More Moving Out
Brunei,2.1,More Moving In
Bhutan,0,No Net Change
Botswana,2.7,More Moving In
Central African Republic,-3.1,More Moving Out
Canada,5.3,More Moving In
Switzerland,5.9,More Moving In
Chile,0.3,More Moving In
China,-0.1,More Moving Out
Ivory Coast,NA,NA
Cameroon,-0.3,More Moving Out
Democratic Republic of the Congo,-0.1,More Moving Out
Republic of Congo,-0.6,More Moving Out
Cook Islands,NA,NA
Colombia,-2.1,More Moving Out
Comoros,-2.2,More Moving Out
Cape Verde,-0.6,More Moving Out
Costa Rica,1.9,More Moving In
Cuba,-2.1,More Moving Out
Curaçao,-1.3,More Moving Out
Cayman Islands,12.1,More Moving In
Northern Cyprus,NA,NA
Cyprus,6.3,More Moving In
Czech Republic,2.7,More Moving In
Germany,1.8,More Moving In
Djibouti,4.2,More Moving In
Dominica,-5.3,More Moving Out
Denmark,2.7,More Moving In
Dominican Republic,-2.7,More Moving Out
Algeria,-0.5,More Moving Out
Ecuador,-1.1,More Moving Out
Egypt,-0.3,More Moving Out
Eritrea,-8.7,More Moving Out
Spain,4.1,More Moving In
Estonia,-2.7,More Moving Out
Ethiopia,-0.1,More Moving Out
Finland,2.2,More Moving In
Fiji,-5.5,More Moving Out
Falkland Islands,NA,NA
France,1.1,More Moving In
Faroe Islands,0,No Net Change
Federated States of Micronesia,-21,More Moving Out
Gabon,3.5,More Moving In
United Kingdom,2.9,More Moving In
Georgia,-3.8,More Moving Out
Guernsey,1.6,More Moving In
Ghana,-0.2,More Moving Out
Guinea,0,No Net Change
Gambia,0,No Net Change
Guinea Bissau,-3.5,More Moving Out
Equatorial Guinea,12.1,More Moving In
Greece,1.1,More Moving In
Grenada,-2.2,More Moving Out
Greenland,-4.9,More Moving Out
Guatemala,-1.6,More Moving Out
Guam,-10.9,More Moving Out
Guyana,-6.6,More Moving Out
Hong Kong S.A.R.,1.6,More Moving In
Heard Island and McDonald Islands,NA,NA
Honduras,-1.7,More Moving Out
Croatia,0,No Net Change
Haiti,-1.6,More Moving Out
Hungary,2.5,More Moving In
Indonesia,-0.7,More Moving Out
Isle of Man,4.3,More Moving In
India,0.1,More Moving In
Indian Ocean Territories,NA,NA
British Indian Ocean Territory,NA,NA
Ireland,5.6,More Moving In
Iran,-0.3,More Moving Out
Iraq,0,No Net Change
Iceland,2.5,More Moving In
Israel,1.9,More Moving In
Italy,3.4,More Moving In
Jamaica,-7.1,More Moving Out
Jersey,1.2,More Moving In
Jordan,-10.9,More Moving Out
Japan,0.7,More Moving In
Siachen Glacier,NA,NA
Kazakhstan,-0.4,More Moving Out
Kenya,-0.2,More Moving Out
Kyrgyzstan,-4.8,More Moving Out
Cambodia,-2.6,More Moving Out
Kiribati,-2.8,More Moving Out
Saint Kitts and Nevis,1.1,More Moving In
South Korea,2.6,More Moving In
Kosovo,-0.4,More Moving Out
Kuwait,-4.2,More Moving Out
Laos,-1,More Moving Out
Lebanon,-0.9,More Moving Out
Liberia,-0.8,More Moving Out
Libya,-2.5,More Moving Out
Saint Lucia,-0.6,More Moving Out
Liechtenstein,4.7,More Moving In
Sri Lanka,-3,More Moving Out
Lesotho,-4.5,More Moving Out
Lithuania,-4.1,More Moving Out
Luxembourg,10.8,More Moving In
Latvia,-4.9,More Moving Out
Macao S.A.R,3.1,More Moving In
Saint Martin,-6.2,More Moving Out
Morocco,-1.7,More Moving Out
Monaco,11.7,More Moving In
Moldova,0,No Net Change
Madagascar,0,No Net Change
Maldives,-12.8,More Moving Out
Mexico,-0.7,More Moving Out
Marshall Islands,-4.3,More Moving Out
Macedonia,0.4,More Moving In
Mali,-2.9,More Moving Out
Malta,4.4,More Moving In
Myanmar,-1.4,More Moving Out
Montenegro,-5,More Moving Out
Mongolia,-0.8,More Moving Out
Northern Mariana Islands,-13.4,More Moving Out
Mozambique,-1.5,More Moving Out
Mauritania,-0.7,More Moving Out
Montserrat,0,No Net Change
