country,net_migr_rate_categ
Aruba,More Moving In
Afghanistan,More Moving Out
Angola,More Moving Out
Anguilla,More Moving In
Albania,More Moving Out
Aland,NA
Andorra,No Net Change
United Arab Emirates,More Moving Out
Argentina,More Moving Out
Armenia,More Moving Out
American Samoa,More Moving Out
Antarctica,NA
Ashmore and Cartier Islands,NA
French Southern and Antarctic Lands,NA
Antigua and Barbuda,More Moving In
Australia,More Moving In
Austria,More Moving In
Azerbaijan,More Moving Out
Burundi,More Moving Out
Belgium,More Moving In
Benin,More Moving In
Burkina Faso,More Moving Out
Bangladesh,More Moving Out
Bulgaria,More Moving Out
Bahrain,More Moving Out
The Bahamas,More Moving In
Bosnia and Herzegovina,More Moving Out
Saint Barthelemy,More Moving Out
Belarus,More Moving In
Belize,More Moving In
Bermuda,More Moving In
Bolivia,More Moving Out
Brazil,More Moving Out
Barbados,More Moving Out
Brunei,More Moving In
Bhutan,No Net Change
Botswana,More Moving In
Central African Republic,More Moving Out
Canada,More Moving In
Switzerland,More Moving In
Chile,More Moving In
China,More Moving Out
Ivory Coast,NA
Cameroon,More Moving Out
Democratic Republic of the Congo,More Moving Out
Republic of Congo,More Moving Out
Cook Islands,NA
Colombia,More Moving Out
Comoros,More Moving Out
Cape Verde,More Moving Out
Costa Rica,More Moving In
Cuba,More Moving Out
Curaçao,More Moving Out
Cayman Islands,More Moving In
Northern Cyprus,NA
Cyprus,More Moving In
Czech Republic,More Moving In
Germany,More Moving In
Djibouti,More Moving In
Dominica,More Moving Out
Denmark,More Moving In
Dominican Republic,More Moving Out
Algeria,More Moving Out
Ecuador,More Moving Out
Egypt,More Moving Out
Eritrea,More Moving Out
Spain,More Moving In
Estonia,More Moving Out
Ethiopia,More Moving Out
Finland,More Moving In
Fiji,More Moving Out
Falkland Islands,NA
France,More Moving In
Faroe Islands,No Net Change
Federated States of Micronesia,More Moving Out
Gabon,More Moving In
United Kingdom,More Moving In
Georgia,More Moving Out
Guernsey,More Moving In
Ghana,More Moving Out
Guinea,No Net Change
Gambia,No Net Change
Guinea Bissau,More Moving Out
Equatorial Guinea,More Moving In
Greece,More Moving In
Grenada,More Moving Out
Greenland,More Moving Out
Guatemala,More Moving Out
Guam,More Moving Out
Guyana,More Moving Out
Hong Kong S.A.R.,More Moving In
Heard Island and McDonald Islands,NA
Honduras,More Moving Out
Croatia,No Net Change
Haiti,More Moving Out
Hungary,More Moving In
Indonesia,More Moving Out
Isle of Man,More Moving In
India,More Moving In
Indian Ocean Territories,NA
British Indian Ocean Territory,NA
Ireland,More Moving In
Iran,More Moving Out
Iraq,No Net Change
Iceland,More Moving In
Israel,More Moving In
Italy,More Moving In
Jamaica,More Moving Out
Jersey,More Moving In
Jordan,More Moving Out
Japan,More Moving In
Siachen Glacier,NA
Kazakhstan,More Moving Out
Kenya,More Moving Out
Kyrgyzstan,More Moving Out
Cambodia,More Moving Out
Kiribati,More Moving Out
Saint Kitts and Nevis,More Moving In
South Korea,More Moving In
Kosovo,More Moving Out
Kuwait,More Moving Out
Laos,More Moving Out
Lebanon,More Moving Out
Liberia,More Moving Out
Libya,More Moving Out
Saint Lucia,More Moving Out
Liechtenstein,More Moving In
Sri Lanka,More Moving Out
Lesotho,More Moving Out
Lithuania,More Moving Out
Luxembourg,More Moving In
Latvia,More Moving Out
Macao S.A.R,More Moving In
Saint Martin,More Moving Out
Morocco,More Moving Out
Monaco,More Moving In
Moldova,No Net Change
Madagascar,No Net Change
Maldives,More Moving Out
Mexico,More Moving Out
Marshall Islands,More Moving Out
Macedonia,More Moving In
Mali,More Moving Out
Malta,More Moving In
Myanmar,More Moving Out
Montenegro,More Moving Out
Mongolia,More Moving Out
Northern Mariana Islands,More Moving Out
Mozambique,More Moving Out
Mauritania,More Moving Out
Montserrat,No Net Change
Mauritius,No Net Change
Malawi,No Net Change
Malaysia,More Moving In
Namibia,No Net Change
New Caledonia,More Moving In
Niger,More Moving Out
Norfolk Island,NA
Nigeria,More Moving Out
Nicaragua,More Moving Out
Niue,NA
Netherlands,More Moving In
Norway,More Moving In
Nepal,More Moving Out
Nauru,More Moving Out
New Zealand,More Moving In
Oman,More Moving Out
Pakistan,More Moving Out
Panama,More Moving In
Pitcairn Islands,NA
Peru,More Moving Out
Philippines,More Moving Out
Palau,More Moving In
Papua New Guinea,No Net Change
Poland,More Moving Out
Puerto Rico,More Moving Out
North Korea,No Net Change
Portugal,More Moving In
Paraguay,More Moving Out
Palestine,NA
French Polynesia,More Moving Out
Qatar,More Moving Out
Romania,More Moving Out
Russia,More Moving In
Rwanda,More Moving Out
Western Sahara,NA
Saudi Arabia,More Moving In
Sudan,More Moving Out
South Sudan,More Moving In
Senegal,More Moving Out
Singapore,More Moving In
South Georgia and South Sandwich Islands,NA
Saint Helena,No Net Change
Solomon Islands,More Moving Out
Sierra Leone,More Moving In
El Salvador,More Moving Out
San Marino,More Moving In
Somaliland,NA
Somalia,More Moving Out
Saint Pierre and Miquelon,More Moving Out
Republic of Serbia,No Net Change
Sao Tome and Principe,More Moving Out
Suriname,More Moving In
Slovakia,More Moving In
Slovenia,More Moving In
Sweden,More Moving In
Swaziland,More Moving Out
Sint Maarten,More Moving In
Seychelles,More Moving In
Syria,More Moving Out
Turks and Caicos Islands,More Moving In
Chad,More Moving Out
Togo,More Moving Out
Thailand,More Moving Out
Tajikistan,More Moving Out
Turkmenistan,More Moving Out
East Timor,More Moving Out
Tonga,More Moving Out
Trinidad and Tobago,More Moving Out
Tunisia,More Moving Out
Turkey,More Moving Out
Taiwan,More Moving In
United Republic of Tanzania,More Moving Out
Uganda,More Moving Out
Ukraine,More Moving In
Uruguay,More Moving Out
United States of America,More Moving In
Uzbekistan,More Moving Out
Vatican,NA
Saint Vincent and the Grenadines,More Moving Out
Venezuela,More Moving In
British Virgin Islands,More Moving In
United States Virgin Islands,NA
Vietnam,More Moving Out
Vanuatu,More Moving Out
Wallis and Futuna,More Moving Out
Samoa,More Moving Out
Yemen,More Moving Out
South Africa,More Moving Out
Zambia,More Moving In
Zimbabwe,More Moving Out
