pc11_state_id,pc11_district_id,pc11_subdistrict_id,state_name,district_name,subdistrict_name,subdistrict_population,ann_avg_pop_weight_pm2.5_2022,pol_lev_category
24,468,00000,gujarat,kachchh,rann of kachchh,8724,63.31017460217232,40 to 80
24,468,03722,gujarat,kachchh,lakhpat,71667,47.24335571972834,40 to 80
24,468,03723,gujarat,kachchh,rapar,228364,59.51195380234086,40 to 80
24,468,03724,gujarat,kachchh,bhachau,264201,54.926597060458214,40 to 80
24,468,03725,gujarat,kachchh,anjar,235340,50.711141244127106,40 to 80
24,468,03726,gujarat,kachchh,bhuj,640639,47.77082690625035,40 to 80
24,468,03727,gujarat,kachchh,nakhatrana,213076,43.287544833851214,40 to 80
24,468,03728,gujarat,kachchh,abdasa,157103,39.68591533595065,20 to 40
24,468,03729,gujarat,kachchh,mandvi,244518,38.966903865598745,20 to 40
24,468,03730,gujarat,kachchh,mundra,113744,42.8051106480214,40 to 80
24,468,03731,gujarat,kachchh,gandhidham,240252,50.99188627714727,40 to 80
24,469,03732,gujarat,banas kantha,vav,311295,73.34778910751362,40 to 80
24,469,03733,gujarat,banas kantha,tharad,408643,70.79352255526611,40 to 80
24,469,03734,gujarat,banas kantha,dhanera,331886,59.01911743168434,40 to 80
24,469,03735,gujarat,banas kantha,dantiwada,180224,51.828621830867064,40 to 80
24,469,03736,gujarat,banas kantha,amirgadh,130872,47.178847428235834,40 to 80
24,469,03737,gujarat,banas kantha,danta,169568,43.80578315860348,40 to 80
24,469,03738,gujarat,banas kantha,vadgam,226176,48.38228453298626,40 to 80
24,469,03739,gujarat,banas kantha,palanpur,554295,50.348729108955546,40 to 80
24,469,03740,gujarat,banas kantha,deesa,698897,57.872193771286696,40 to 80
24,469,03741,gujarat,banas kantha,deodar,169668,69.49731681962399,40 to 80
24,469,03742,gujarat,banas kantha,bhabhar,138235,71.03407601579637,40 to 80
24,469,03743,gujarat,banas kantha,kankrej,272430,63.48553810220843,40 to 80
24,470,03744,gujarat,patan,santalpur,208975,68.8021896347419,40 to 80
24,470,03745,gujarat,patan,radhanpur,235187,68.63544202084215,40 to 80
