state_name,district_name,subdistrict_name,subdistrict_population,year,month,avg_pm2.5
nct of delhi,north west,narela,1313469,1998,january,109.87735833166062
nct of delhi,north west,narela,1313469,1998,february,71.80686764243775
nct of delhi,north west,narela,1313469,1998,march,44.47174532259892
nct of delhi,north west,narela,1313469,1998,april,59.96405058263794
nct of delhi,north west,narela,1313469,1998,may,54.3008978977886
nct of delhi,north west,narela,1313469,1998,june,32.62109602371226
nct of delhi,north west,narela,1313469,1998,july,27.60373656658633
nct of delhi,north west,narela,1313469,1998,august,25.672849114948775
nct of delhi,north west,narela,1313469,1998,september,19.309975025619117
nct of delhi,north west,narela,1313469,1998,october,86.9139018250688
nct of delhi,north west,narela,1313469,1998,november,144.04895867879077
nct of delhi,north west,narela,1313469,1998,december,170.69915774090992
nct of delhi,north west,narela,1313469,2003,january,199.6777412636407
nct of delhi,north west,narela,1313469,2003,february,107.78573376840386
nct of delhi,north west,narela,1313469,2003,march,81.39041119235371
nct of delhi,north west,narela,1313469,2003,april,62.29146698735375
nct of delhi,north west,narela,1313469,2003,may,71.10369084455965
nct of delhi,north west,narela,1313469,2003,june,63.922762690988726
nct of delhi,north west,narela,1313469,2003,july,37.64947997491747
nct of delhi,north west,narela,1313469,2003,august,32.61859329409721
nct of delhi,north west,narela,1313469,2003,september,36.97768637218025
nct of delhi,north west,narela,1313469,2003,october,141.81700562261716
nct of delhi,north west,narela,1313469,2003,november,186.41870298211697
nct of delhi,north west,narela,1313469,2003,december,195.07222487650665
nct of delhi,north west,narela,1313469,2008,january,126.74255680564764
nct of delhi,north west,narela,1313469,2008,february,124.63213695538316
nct of delhi,north west,narela,1313469,2008,march,79.26500171534556
nct of delhi,north west,narela,1313469,2008,april,76.45200370026478
nct of delhi,north west,narela,1313469,2008,may,72.585936269508
nct of delhi,north west,narela,1313469,2008,june,57.63683341717399
nct of delhi,north west,narela,1313469,2008,july,41.25174211355042
nct of delhi,north west,narela,1313469,2008,august,44.66189618445016
nct of delhi,north west,narela,1313469,2008,september,37.83595093290153
nct of delhi,north west,narela,1313469,2008,october,146.03192478420402
nct of delhi,north west,narela,1313469,2008,november,232.39265659564953
nct of delhi,north west,narela,1313469,2008,december,209.30364468533224
nct of delhi,north west,narela,1313469,2013,january,200.98403085146347
nct of delhi,north west,narela,1313469,2013,february,116.26081951558687
nct of delhi,north west,narela,1313469,2013,march,90.4469910694893
nct of delhi,north west,narela,1313469,2013,april,78.23096513973807
nct of delhi,north west,narela,1313469,2013,may,61.29117344485055
nct of delhi,north west,narela,1313469,2013,june,63.248831791961635
nct of delhi,north west,narela,1313469,2013,july,60.892852250234576
nct of delhi,north west,narela,1313469,2013,august,42.05629831475615
nct of delhi,north west,narela,1313469,2013,september,34.35263620872955
nct of delhi,north west,narela,1313469,2013,october,144.24393621657077
nct of delhi,north west,narela,1313469,2013,november,219.6431047769912
nct of delhi,north west,narela,1313469,2013,december,209.60722727365516
nct of delhi,north west,narela,1313469,2018,january,212.12315790809828
nct of delhi,north west,narela,1313469,2018,february,145.18638046391743
nct of delhi,north west,narela,1313469,2018,march,102.42873872625498
nct of delhi,north west,narela,1313469,2018,april,92.05412635607216
nct of delhi,north west,narela,1313469,2018,may,86.21523813664594
nct of delhi,north west,narela,1313469,2018,june,65.97306452431526
nct of delhi,north west,narela,1313469,2018,july,46.200653274766914
nct of delhi,north west,narela,1313469,2018,august,40.479680808786895
nct of delhi,north west,narela,1313469,2018,september,45.662720495622224
nct of delhi,north west,narela,1313469,2018,october,149.93413283302888
nct of delhi,north west,narela,1313469,2018,november,227.96227236099287
nct of delhi,north west,narela,1313469,2018,december,262.8380303692544
nct of delhi,north west,narela,1313469,2023,january,156.63312501181295
nct of delhi,north west,narela,1313469,2023,february,116.1043015439327
nct of delhi,north west,narela,1313469,2023,march,79.45628361093515
nct of delhi,north west,narela,1313469,2023,april,68.34161146188072
nct of delhi,north west,narela,1313469,2023,may,61.73568480007829
nct of delhi,north west,narela,1313469,2023,june,47.51193596669477
nct of delhi,north west,narela,1313469,2023,july,38.69803605100788
nct of delhi,north west,narela,1313469,2023,august,39.593928821821336
nct of delhi,north west,narela,1313469,2023,september,42.30351386416603
nct of delhi,north west,narela,1313469,2023,october,114.03136009430116
nct of delhi,north west,narela,1313469,2023,november,248.7339827264356
nct of delhi,north west,narela,1313469,2023,december,204.3132565480944
nct of delhi,north west,saraswati vihar,2376736,1998,january,115.15115308623768
nct of delhi,north west,saraswati vihar,2376736,1998,february,77.47166361869162
nct of delhi,north west,saraswati vihar,2376736,1998,march,55.455845019407455
nct of delhi,north west,saraswati vihar,2376736,1998,april,64.56479488248473
nct of delhi,north west,saraswati vihar,2376736,1998,may,51.41037464722194
nct of delhi,north west,saraswati vihar,2376736,1998,june,32.873598527786044
nct of delhi,north west,saraswati vihar,2376736,1998,july,29.384020184868717
nct of delhi,north west,saraswati vihar,2376736,1998,august,26.74325229805713
nct of delhi,north west,saraswati vihar,2376736,1998,september,21.942261746857454
nct of delhi,north west,saraswati vihar,2376736,1998,october,88.94883545658725
nct of delhi,north west,saraswati vihar,2376736,1998,november,143.18982693211635
nct of delhi,north west,saraswati vihar,2376736,1998,december,170.89959473894555
nct of delhi,north west,saraswati vihar,2376736,2003,january,198.36300281889132
nct of delhi,north west,saraswati vihar,2376736,2003,february,112.79064993833578
nct of delhi,north west,saraswati vihar,2376736,2003,march,80.27523039803948
