year,month,national_compliant,who_compliant,total_subdistricts,national_pct,who_pct
1998,april,4937,2,5968,82.7245308310992,0.03351206434316354
1998,august,5968,152,5968,100,2.546916890080429
1998,december,3833,3,5968,64.22587131367293,0.05026809651474531
1998,february,4074,0,5968,68.26407506702414,0
1998,january,3399,1,5968,56.95375335120644,0.01675603217158177
1998,july,5967,165,5968,99.98324396782841,2.764745308310992
1998,june,5942,214,5968,99.56434316353887,3.585790884718499
1998,march,4985,3,5968,83.52882037533512,0.05026809651474531
1998,may,5082,52,5968,85.15415549597856,0.871313672922252
1998,november,4221,6,5968,70.72721179624665,0.10053619302949061
1998,october,5183,82,5968,86.84651474530831,1.3739946380697052
1998,september,5968,14,5968,100,0.23458445040214476
1999,april,4917,5,5968,82.38941018766755,0.08378016085790885
1999,august,5968,40,5968,100,0.6702412868632708
1999,december,3698,2,5968,61.96380697050938,0.03351206434316354
1999,february,3231,0,5968,54.138739946380696,0
1999,january,3387,0,5968,56.75268096514745,0
1999,july,5966,246,5968,99.96648793565683,4.121983914209116
1999,june,5908,177,5968,98.9946380697051,2.965817694369973
1999,march,4855,0,5968,81.35053619302948,0
1999,may,4986,88,5968,83.5455764075067,1.4745308310991956
1999,november,4138,3,5968,69.33646112600536,0.05026809651474531
1999,october,5286,85,5968,88.57238605898124,1.4242627345844505
1999,september,5968,9,5968,100,0.15080428954423591
2000,april,4543,2,5968,76.12265415549598,0.03351206434316354
2000,august,5968,35,5968,100,0.5864611260053619
2000,december,3624,1,5968,60.723860589812325,0.01675603217158177
2000,february,3442,0,5968,57.674262734584445,0
2000,january,3600,0,5968,60.32171581769437,0
2000,july,5964,5,5968,99.93297587131367,0.08378016085790885
2000,june,4969,20,5968,83.26072386058982,0.3351206434316354
2000,march,4026,1,5968,67.45978552278821,0.01675603217158177
2000,may,4896,1,5968,82.03753351206434,0.01675603217158177
2000,november,3727,2,5968,62.44973190348525,0.03351206434316354
2000,october,4682,23,5968,78.45174262734585,0.3853887399463807
2000,september,5894,7,5968,98.76005361930295,0.11729222520107238
2001,april,4548,1,5968,76.20643431635389,0.01675603217158177
2001,august,5968,1,5968,100,0.01675603217158177
2001,december,3442,1,5968,57.674262734584445,0.01675603217158177
2001,february,3098,0,5968,51.91018766756032,0
2001,january,2852,0,5968,47.788203753351205,0
2001,july,5957,8,5968,99.8156836461126,0.13404825737265416
2001,june,5041,143,5968,84.4671581769437,2.396112600536193
2001,march,3818,1,5968,63.974530831099194,0.01675603217158177
2001,may,4942,3,5968,82.8083109919571,0.05026809651474531
2001,november,3572,2,5968,59.852546916890084,0.03351206434316354
2001,october,4576,67,5968,76.67560321715817,1.1226541554959786
2001,september,5739,6,5968,96.16286863270777,0.10053619302949061
2002,april,4218,1,5968,70.67694369973191,0.01675603217158177
2002,august,5920,1,5968,99.19571045576407,0.01675603217158177
2002,december,3468,0,5968,58.10991957104557,0
2002,february,2910,0,5968,48.76005361930295,0
2002,january,2836,0,5968,47.520107238605895,0
2002,july,5929,1,5968,99.34651474530831,0.01675603217158177
2002,june,4910,99,5968,82.27211796246648,1.6588471849865953
2002,march,3929,3,5968,65.83445040214477,0.05026809651474531
2002,may,4643,4,5968,77.79825737265415,0.06702412868632708
2002,november,3661,2,5968,61.343833780160864,0.03351206434316354
2002,october,4285,42,5968,71.79959785522789,0.7037533512064343
2002,september,5962,6,5968,99.89946380697052,0.10053619302949061
